athlete_id,given_name,nickname,surname,suffix,athlete_gender
289,Fernand,,Canelle,,Male
290,,,Duparc,,Male
291,,,Fraysse,,Male
292,,,Gaillard,,Male
293,Rene,,Garnier,,Male
294,,,Grandjean,,Male
295,,,Huteau,,Male
296,,,Lambert,,Male
297,,,Macaire,,Male
298,,,Peltier,,Male
299,David Donaldson,,Robertson,,Male
300,Charles Edward,,Sands,,Male
301,Walter,,Rutherford,,Male
302,Daria,,Pratt,,Female
303,Margaret Ives,,Abbott,,Female
304,Pauline,,Whittier,,Female
305,Lucien,,Demanet,,Male
306,Gustave,,Sandras,,Male
307,Noel,,Bas,,Male
308,Jean,,Boussod,,Male
309,Louis,,Duc De Bisaccia,,Male
310,A.,,Fauquet Lemaitre,,Male
311,Maurice,,Raoul-Duval,,Male
312,Dennis,,Daly,,Male
313,Foxhall Parker,,Keene,,Male
314,Frank Jay,,Mackey,,Male
315,Alfred,,Rawlinson,,Male
316,Walter Selby,,Buckmaster,,Male
317,Jose Pierre M.J.,,Comte De Madre,,Male
318,Frederick Maitland,,Freake,,Male
319,Walter Adolph,,Mccreery,,Male
320,Francois Antoine,,Brandt,,Male
321,Hermanus Gerardus,,Brockmann,,Male
322,Roelof,,Klein,,Male
323,Ruud Gerbens,,Leegstra,,Male
324,Walter,,Middelberg,,Male
325,Hendrik Karel,,Offerhaus,,Male
326,Walter,,Thijssen,,Male
327,Henricus,,Tromp,,Male
328,Johannes Wilhelmus Maria,,Van Dijk,,Male
329,Louis,,Abell,,Male
330,William,,Carr,,Male
331,Harry,,Debaecke,,Male
332,John,,Exley,,Male
333,John,,Geiger,,Male
334,Edward,,Hedley,,Male
335,James,,Juvenal,,Male
336,Roscoe,,Lockwood,,Male
337,Edward,,Marsh,,Male
338,Prospere,,Bruggeman,,Male
339,Jules,,De Bisschop,,Male
340,Oscar,,De Cock,,Male
341,Oscar Charles,,De Somville,,Male
342,Maurice,,Hemelsoet,,Male
343,Frank,,Odberg,,Male
344,Marcel Lucien,,Van Crombrugghe,,Male
345,Alfred,,Van Landeghem,,Male
346,Maurice,,Verdonck,,Male
347,Wilhelm,,Carstens,,Male
348,Ernst,,Felle,,Male
349,Otto,,Fickeisen,,Male
350,Julius,,Korner,,Male
351,Franz,,Krowerath,,Male
352,Carl,,Lehle,,Male
353,Adolf,,Moller,,Male
354,Gustav Adolf,,Moths,,Male
355,Hugo,,Ruster,,Male
356,Hermann,,Wilker,,Male
357,Henri,,Bouckaert,,Male
358,Jean,,Cau,,Male
359,,,Charlot,,Male
360,Emile,,Delchambre,,Male
361,Carl Heinrich,,Gossler,,Male
362,Gustav Ludwig,,Gossler,,Male
363,Oscar,,Gossler,,Male
364,Henri,,Hazebrouck,,Male
365,Walther,,Katzenstein,,Male
366,Waldemar,,Tietgens,,Male
367,Coenraad Christiaan,,Hiebendaai,,Male
368,Gerhard Oswald,,Lotsy,,Male
369,Paulus Jan,,Lotsy,,Male
370,Georges,,Lumpp,,Male
371,Charles,,Perrin,,Male
372,Daniel,,Soubeyran,,Male
373,Johannes Hester Lambertus,,Terwogt,,Male
374,Emile,,Wegelin,,Male
375,Carlos,,Deltour,,Male
376,Raoul,,Paoli,,Male
377,Antoine Erneste,,Vedrenne,,Male
378,Louis,,Martinet,,Male
379,,,Unknown Cox / Barreur Inconnu,,Male
380,,,Waleff,,Male
381,Saint-George,,Ashe,,Male
382,Henri,,Barrelet,,Male
383,Andre,,Gaudin,,Male
384,Vladimir,,Aitoff,,Male
385,A.,,Albert,,Male
386,Jean Leon,,Binoche,,Male
387,Jean,,Collas,,Male
